timestamp,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
1/1/2011 0:00,16,0.24,0.2879,0.81,0,1,0,1,1
1/1/2011 1:00,40,0.22,0.2727,0.8,0,1,0,1,1
1/1/2011 2:00,32,0.22,0.2727,0.8,0,1,0,1,1
1/1/2011 3:00,13,0.24,0.2879,0.75,0,1,0,1,1
1/1/2011 4:00,1,0.24,0.2879,0.75,0,1,0,1,1
1/1/2011 5:00,1,0.24,0.2576,0.75,0.0896,2,0,1,1
1/1/2011 6:00,2,0.22,0.2727,0.8,0,1,0,1,1
1/1/2011 7:00,3,0.2,0.2576,0.86,0,1,0,1,1
1/1/2011 8:00,8,0.24,0.2879,0.75,0,1,0,1,1
1/1/2011 9:00,14,0.32,0.3485,0.76,0,1,0,1,1
1/1/2011 10:00,36,0.38,0.3939,0.76,0.2537,1,0,1,1
1/1/2011 11:00,56,0.36,0.3333,0.81,0.2836,1,0,1,1
1/1/2011 12:00,84,0.42,0.4242,0.77,0.2836,1,0,1,1
1/1/2011 13:00,94,0.46,0.4545,0.72,0.2985,2,0,1,1
1/1/2011 14:00,106,0.46,0.4545,0.72,0.2836,2,0,1,1
1/1/2011 15:00,110,0.44,0.4394,0.77,0.2985,2,0,1,1
1/1/2011 16:00,93,0.42,0.4242,0.82,0.2985,2,0,1,1
1/1/2011 17:00,67,0.44,0.4394,0.82,0.2836,2,0,1,1
1/1/2011 18:00,35,0.42,0.4242,0.88,0.2537,3,0,1,1
1/1/2011 19:00,37,0.42,0.4242,0.88,0.2537,3,0,1,1
1/1/2011 20:00,36,0.4,0.4091,0.87,0.2537,2,0,1,1
1/1/2011 21:00,34,0.4,0.4091,0.87,0.194,2,0,1,1
1/1/2011 22:00,28,0.4,0.4091,0.94,0.2239,2,0,1,1
1/1/2011 23:00,39,0.46,0.4545,0.88,0.2985,2,0,1,1
1/2/2011 0:00,17,0.46,0.4545,0.88,0.2985,2,0,1,1
1/2/2011 1:00,17,0.44,0.4394,0.94,0.2537,2,0,1,1
1/2/2011 2:00,9,0.42,0.4242,1,0.2836,2,0,1,1
1/2/2011 3:00,6,0.46,0.4545,0.94,0.194,2,0,1,1
1/2/2011 4:00,3,0.46,0.4545,0.94,0.194,2,0,1,1
1/2/2011 5:00,2,0.42,0.4242,0.77,0.2985,3,0,1,1
1/2/2011 6:00,1,0.4,0.4091,0.76,0.194,2,0,1,1
1/2/2011 7:00,8,0.4,0.4091,0.71,0.2239,3,0,1,1
1/2/2011 8:00,20,0.38,0.3939,0.76,0.2239,2,0,1,1
1/2/2011 9:00,53,0.36,0.3485,0.81,0.2239,2,0,1,1
1/2/2011 10:00,70,0.36,0.3333,0.71,0.2537,2,0,1,1
1/2/2011 11:00,93,0.36,0.3333,0.66,0.2985,2,0,1,1
1/2/2011 12:00,75,0.36,0.3485,0.66,0.1343,2,0,1,1
1/2/2011 13:00,59,0.36,0.3485,0.76,0.194,3,0,1,1
1/2/2011 14:00,74,0.34,0.3333,0.81,0.1642,3,0,1,1
1/2/2011 15:00,76,0.34,0.3333,0.71,0.1642,3,0,1,1
1/2/2011 16:00,65,0.34,0.3333,0.57,0.194,1,0,1,1
1/2/2011 17:00,53,0.36,0.3333,0.46,0.3284,2,0,1,1
1/2/2011 18:00,30,0.32,0.2879,0.42,0.4478,1,0,1,1
1/2/2011 19:00,22,0.3,0.2727,0.39,0.3582,1,0,1,1
1/2/2011 20:00,31,0.26,0.2273,0.44,0.3284,1,0,1,1
1/2/2011 21:00,9,0.24,0.2121,0.44,0.2985,1,0,1,1
1/2/2011 22:00,8,0.22,0.2273,0.47,0.1642,1,0,1,1
1/3/2011 23:00,5,0.22,0.197,0.44,0.3582,1,0,0,1
1/3/2011 0:00,2,0.2,0.1667,0.44,0.4179,1,0,0,1
1/3/2011 1:00,1,0.16,0.1364,0.47,0.3881,1,0,0,1
1/3/2011 2:00,3,0.16,0.1364,0.47,0.2836,1,0,0,1
1/3/2011 3:00,30,0.14,0.1061,0.5,0.3881,1,0,0,1
1/3/2011 4:00,64,0.14,0.1364,0.5,0.194,1,0,0,1
1/3/2011 5:00,154,0.14,0.1212,0.5,0.2836,1,0,0,1
1/3/2011 6:00,88,0.16,0.1364,0.43,0.3881,1,0,0,1
1/3/2011 7:00,44,0.18,0.1667,0.43,0.2537,1,0,0,1
1/3/2011 8:00,51,0.2,0.1818,0.4,0.3284,1,0,0,1
1/3/2011 9:00,61,0.22,0.2121,0.35,0.2985,1,0,0,1
1/3/2011 10:00,61,0.24,0.2121,0.35,0.2836,1,0,0,1
1/3/2011 11:00,77,0.26,0.2424,0.3,0.2836,1,0,0,1
1/3/2011 12:00,72,0.26,0.2424,0.3,0.2537,1,0,0,1
1/3/2011 13:00,76,0.26,0.2424,0.3,0.2537,1,0,0,1
1/3/2011 14:00,157,0.24,0.2273,0.3,0.2239,1,0,0,1
1/3/2011 15:00,157,0.24,0.2576,0.32,0.1045,1,0,0,1
1/3/2011 16:00,110,0.2,0.2576,0.47,0,1,0,0,1
1/3/2011 17:00,52,0.2,0.2273,0.47,0.1045,1,0,0,1
1/3/2011 18:00,52,0.18,0.197,0.64,0.1343,1,0,0,1
1/3/2011 19:00,20,0.14,0.1515,0.69,0.1343,1,0,0,1
1/3/2011 20:00,12,0.18,0.2121,0.55,0.1045,1,0,0,1
1/4/2011 21:00,5,0.16,0.1818,0.55,0.1045,1,0,0,1
1/4/2011 22:00,2,0.16,0.1818,0.59,0.1045,1,0,0,1
1/4/2011 23:00,1,0.14,0.1515,0.63,0.1343,1,0,0,1
1/4/2011 0:00,2,0.14,0.1818,0.63,0.0896,1,0,0,1
1/4/2011 1:00,4,0.12,0.1515,0.68,0.1045,1,0,0,1
1/4/2011 2:00,36,0.12,0.1515,0.74,0.1045,1,0,0,1
1/4/2011 3:00,94,0.12,0.1515,0.74,0.1343,1,0,0,1
1/4/2011 4:00,179,0.14,0.1515,0.69,0.1642,1,0,0,1
1/4/2011 5:00,100,0.16,0.1515,0.64,0.2239,1,0,0,1
1/4/2011 6:00,42,0.16,0.1364,0.69,0.3284,2,0,0,1
1/4/2011 7:00,57,0.22,0.2121,0.51,0.2985,1,0,0,1
1/4/2011 8:00,78,0.22,0.2273,0.51,0.1642,1,0,0,1
1/4/2011 9:00,97,0.24,0.2273,0.56,0.194,1,0,0,1
1/4/2011 10:00,63,0.26,0.2576,0.52,0.2239,1,0,0,1
1/4/2011 11:00,65,0.28,0.2727,0.52,0.2537,1,0,0,1
1/4/2011 12:00,83,0.3,0.2879,0.49,0.2537,1,0,0,1
1/4/2011 13:00,212,0.28,0.2727,0.48,0.2239,1,0,0,1
1/4/2011 14:00,182,0.26,0.2576,0.48,0.194,1,0,0,1
1/4/2011 15:00,112,0.24,0.2576,0.48,0.1045,1,0,0,1
1/4/2011 16:00,54,0.24,0.2576,0.48,0.1045,1,0,0,1
1/4/2011 17:00,48,0.22,0.2727,0.64,0,1,0,0,1
1/4/2011 18:00,35,0.22,0.2576,0.64,0.0896,1,0,0,1
1/4/2011 19:00,11,0.2,0.2273,0.69,0.0896,1,0,0,1
